"","genre","popularity","danceability","energy","loudness","acousticness","valence","liveness","tempo","duration_ms"
"1","pop",66,0.748,0.916,-2.634,0.102,0.518,0.0653,122.036,194754
"2","pop",67,0.726,0.815,-4.969,0.0724,0.693,0.357,99.972,162600
"3","pop",70,0.675,0.931,-3.432,0.0794,0.613,0.11,124.008,176616
"4","pop",60,0.718,0.93,-3.778,0.0287,0.277,0.204,121.956,169093
"5","pop",69,0.65,0.833,-4.672,0.0803,0.725,0.0833,123.976,189052
"6","pop",67,0.675,0.919,-5.385,0.0799,0.585,0.143,124.982,163049
"7","pop",62,0.449,0.856,-4.788,0.187,0.152,0.176,112.648,187675
"8","pop",69,0.542,0.903,-2.419,0.0335,0.367,0.111,127.936,207619
"9","pop",68,0.594,0.935,-3.562,0.0249,0.366,0.637,127.015,193187
"10","pop",67,0.642,0.818,-4.552,0.0567,0.59,0.0919,124.957,253040
"11","pop",58,0.679,0.923,-6.5,0.146,0.752,0.124,121.984,207894
"12","pop",67,0.437,0.774,-4.918,0.148,0.329,0.133,123.125,203733
"13","pop",67,0.744,0.726,-4.675,0.0399,0.687,0.374,121.985,192507
"14","pop",68,0.572,0.915,-4.451,0.0111,0.678,0.339,123.919,164516
"15","pop",63,0.69,0.78,-4.446,0.00733,0.238,0.0729,126.07,255238
"16","pop",66,0.805,0.835,-4.603,0.13,0.722,0.365,125.028,188230
"17","pop",60,0.694,0.901,-4.322,0.0702,0.368,0.427,118.051,173548
"18","pop",65,0.678,0.747,-5.289,0.0395,0.516,0.174,120.002,189375
"19","pop",69,0.746,0.557,-6.722,0.103,0.324,0.138,111.961,159404
"20","pop",35,0.467,0.821,-5.466,0.00791,0.232,0.131,122.676,185366
"21","pop",70,0.572,0.934,-5.053,0.00292,0.204,0.105,125.948,215238
"22","pop",64,0.708,0.913,-4.329,0.089,0.707,0.113,135.016,170667
"23","pop",62,0.684,0.818,-4.477,0.0469,0.336,0.119,123.938,210968
"24","pop",70,0.732,0.85,-5.999,0.114,0.372,0.0388,124.024,193548
"25","pop",58,0.62,0.889,-3.785,0.0163,0.422,0.395,110.018,205093
"26","pop",63,0.675,0.76,-7.037,0.104,0.468,0.33,124.933,172800
"27","pop",66,0.682,0.851,-7.117,0.0146,0.348,0.0289,126,192381
"28","pop",8,0.663,0.905,-3.781,0.0325,0.397,0.333,125.996,175000
"29","pop",62,0.625,0.938,-3.983,0.00432,0.371,0.0923,127.997,166875
"30","pop",30,0.679,0.909,-2.929,0.0334,0.819,0.269,119.885,155080
"31","pop",56,0.641,0.869,-4.754,0.0319,0.358,0.403,128.091,178125
"32","pop",56,0.702,0.814,-7.51,0.107,0.503,0.374,121.993,172000
"33","pop",58,0.723,0.837,-6.487,0.0103,0.643,0.0834,123.952,177097
"34","pop",60,0.742,0.864,-5.06,0.00141,0.727,0.241,125.032,169935
"35","pop",60,0.716,0.815,-4.121,0.108,0.351,0.163,124.975,220413
"36","pop",55,0.748,0.831,-5.029,0.0823,0.894,0.0757,128.024,185273
"37","pop",59,0.816,0.833,-5.972,0.126,0.793,0.0625,122.032,170164
"38","pop",63,0.633,0.854,-4.046,0.0382,0.659,0.434,126.026,172360
"39","pop",67,0.563,0.81,-2.921,0.00522,0.495,0.0846,129.975,247385
"40","pop",55,0.728,0.815,-2.878,0.00223,0.681,0.101,124.019,218015
"41","pop",56,0.846,0.773,-3.503,0.0141,0.586,0.204,124.008,200444
"42","pop",87,0.693,0.678,-7.159,0.0154,0.404,0.101,103.952,228267
"43","pop",62,0.678,0.928,-3.66,0.0303,0.663,0.143,116.892,150160
"44","pop",83,0.67,0.453,-11.265,0.252,0.68,0.117,135.055,194840
"45","pop",55,0.755,0.931,-4.104,0.132,0.288,0.0854,122.041,177466
"46","pop",61,0.622,0.859,-7.626,0.000609,0.442,0.0909,121.968,218373
"47","pop",56,0.789,0.893,-4.364,0.0538,0.41,0.221,121.956,144073
"48","pop",57,0.64,0.838,-4.203,0.0588,0.587,0.0424,124.081,193861
"49","pop",56,0.609,0.764,-4.564,0.0994,0.531,0.197,128.082,200625
"50","pop",53,0.64,0.992,-3.318,0.0832,0.479,0.109,123.951,166237
"51","pop",56,0.75,0.81,-4.607,0.0917,0.48,0.111,120.038,171500
"52","pop",34,0.535,0.956,-2.996,0.000609,0.12,0.262,127.984,266719
"53","pop",74,0.766,0.771,-9.108,0.00407,0.297,0.113,140.036,204027
"54","pop",46,0.649,0.821,-4.952,0.017,0.394,0.0655,125.977,203968
"55","pop",63,0.588,0.697,-4.744,0.186,0.225,0.103,125.157,190417
"56","pop",55,0.355,0.789,-4.358,0.0148,0.169,0.0355,80.444,237686
"57","pop",52,0.542,0.84,-5.283,0.0336,0.509,0.277,118.02,180361
"58","pop",67,0.735,0.5,-11.297,0.415,0.119,0.13,126.1,139048
"59","pop",63,0.752,0.84,-4.451,0.00486,0.461,0.0916,124.002,279800
"60","pop",60,0.748,0.903,-5.877,0.0324,0.751,0.106,115.018,217043
"61","pop",45,0.607,0.955,-3.613,0.0163,0.501,0.0725,125.984,230476
"62","pop",58,0.607,0.995,-2.325,0.0921,0.664,0.0445,124.998,188640
"63","pop",51,0.679,0.786,-6.918,0.119,0.47,0.224,126.092,196613
"64","pop",58,0.714,0.801,-5.8,0.0204,0.292,0.334,124.015,210000
"65","pop",56,0.69,0.862,-4.154,0.0611,0.453,0.238,121.975,187869
"66","pop",60,0.775,0.867,-7.388,0.0158,0.565,0.0355,128.956,273229
"67","pop",48,0.814,0.838,-5.547,0.001,0.959,0.0185,121.978,255861
"68","pop",56,0.784,0.779,-5.48,0.0357,0.459,0.0245,124.994,216714
"69","pop",56,0.367,0.783,-4.504,0.00515,0.289,0.0545,88.013,192653
"70","pop",65,0.609,0.83,-3.759,0.201,0.604,0.0321,117.833,238451
"71","pop",39,0.591,0.702,-5.59,0.225,0.501,0.414,104.003,217653
"72","pop",83,0.59,0.642,-3.87,0.0771,0.651,0.105,107.356,174444
"73","pop",83,0.791,0.565,-3.933,0.0623,0.181,0.156,99.961,156347
"74","pop",71,0.564,0.747,-3.374,0.0728,0.717,0.151,97.878,165767
"75","pop",81,0.669,0.801,-5.445,0.268,0.541,0.0594,109.919,201072
"76","pop",85,0.77,0.882,-4.792,0.194,0.385,0.316,99.991,223523
