"","genre","year","m_popularity","m_danceability","m_energy","m_loudness","m_acousticness","m_tempo","m_duration_ms","m_valence","m_liveness"
"1","edm",1977,0,0.481,0.632,-8.17,0.0108,131.418,422133,0.937,0.11
"2","edm",1978,41,0.883,0.333,-17.848,0.00799,121.099,382015,0.964,0.257
"3","edm",1979,27.5,0.794,0.5645,-11.8205,0.04615,125.118,501653.5,0.6745,0.06605
"4","edm",1980,29,0.573,0.893,-8.056,0.00538,121.651,407907,0.707,0.231
"5","edm",1981,69,0.734,0.583,-11.866,0.125,109.935,230467,0.76,0.0367
"6","edm",1982,43.5,0.8345,0.4995,-12.66,0.25085,120.0705,346807,0.868,0.04235
"7","edm",1983,2,0.758,0.829,-6.622,0.0486,122.298,377093,0.824,0.0317
"8","edm",1990,35,0.72,0.567,-13.863,0.0162,118.042,293107,0.914,0.0368
"9","edm",1991,15,0.665,0.811,-12.789,0.0852,119.978,249893,0.935,0.292
"10","edm",1993,31,0.794,0.632,-9.358,0.0189,133.139,214547,0.85,0.0997
"11","edm",1994,33,0.913,0.292,-16.416,0.00365,120.017,318467,0.891,0.0445
"12","edm",1995,33,0.689,0.991,-4.446,0.00278,140.023,188571,0.476,0.228
"13","edm",1996,42,0.79,0.781,-7.363,0.0382,102.37,287907,0.607,0.333
"14","edm",1998,52,0.747,0.973,-6.415,0.000362,128.127,412973,0.983,0.308
"15","edm",1999,50.6666666666667,0.679,0.841666666666667,-7.067,0.0492566666666667,127.585333333333,295600,0.713333333333333,0.368333333333333
"16","edm",2000,56.25,0.72325,0.80225,-7.453,0.0125625,129.566,256496.75,0.61575,0.134025
"17","edm",2001,45,0.691666666666667,0.81,-7.85733333333333,0.0109866666666667,125.596,290492.333333333,0.760666666666667,0.267666666666667
"18","edm",2002,47.5,0.715,0.8175,-5.45175,0.0259825,138.0275,236033.25,0.451,0.106825
"19","edm",2003,30.4,0.6456,0.8474,-6.4088,0.10778544,128.1718,356895.8,0.56,0.18442
"20","edm",2004,47,0.767333333333333,0.780333333333333,-7.559,0.0400333333333333,133.296666666667,273293.333333333,0.483333333333333,0.1576
"21","edm",2005,28.375,0.736125,0.821625,-5.683,0.032378125,121.117,296460.75,0.67325,0.1854625
"22","edm",2006,20.375,0.706,0.76875,-7.636,0.0631235,123.928375,315593.9375,0.598875,0.20289375
"23","edm",2007,16.448275862069,0.731655172413793,0.714241379310345,-6.98706896551724,0.0297784862068966,128.774827586207,295012.586206897,0.585275862068966,0.151055172413793
"24","edm",2008,15.7906976744186,0.746790697674419,0.751674418604651,-6.23372093023256,0.0376939023255814,128.796953488372,300536.720930233,0.627686046511628,0.175776744186047
"25","edm",2009,16.8666666666667,0.749177777777778,0.7568,-6.60664444444444,0.0499122866666667,125.961088888889,291502.755555556,0.55862,0.205035555555556
"26","edm",2010,35.5945945945946,0.69954054054054,0.816459459459459,-5.53059459459459,0.079587845945946,123.927135135135,239714.567567568,0.528916216216216,0.208486486486486
"27","edm",2011,32.7972972972973,0.676932432432432,0.758135135135135,-5.76090540540541,0.0669711081081081,123.778756756757,279518.445945946,0.468390540540541,0.226613513513514
