"","genre","subgenre","year","subgenre_mean"
"1","edm","big room",1995,33
"2","edm","big room",1996,42
"3","edm","big room",1999,57
"4","edm","big room",2000,60
"5","edm","big room",2002,54
"6","edm","big room",2003,69
"7","edm","big room",2004,65
"8","edm","big room",2005,51
"9","edm","big room",2006,4
"10","edm","big room",2007,52
"11","edm","big room",2009,2
"12","edm","big room",2010,40.6666666666667
"13","edm","big room",2011,42
"14","edm","big room",2012,31.4166666666667
"15","edm","big room",2013,22.6744186046512
"16","edm","big room",2014,19.4045801526718
"17","edm","big room",2015,21.7739726027397
"18","edm","big room",2016,27.3857142857143
"19","edm","big room",2017,32.96875
"20","edm","big room",2018,35.6071428571429
"21","edm","big room",2019,37.2668711656442
"22","edm","big room",2020,38.7435897435897
"23","edm","electro house",1999,47.5
"24","edm","electro house",2002,48
"25","edm","electro house",2005,57
"26","edm","electro house",2007,39
"27","edm","electro house",2008,51
"28","edm","electro house",2009,41.5
"29","edm","electro house",2010,37.8333333333333
"30","edm","electro house",2011,34.2
"31","edm","electro house",2012,39.5714285714286
"32","edm","electro house",2013,17.3260869565217
"33","edm","electro house",2014,17.4857142857143
"34","edm","electro house",2015,22.6666666666667
"35","edm","electro house",2016,28.4090909090909
"36","edm","electro house",2017,32.9354838709677
"37","edm","electro house",2018,34.8377483443709
"38","edm","electro house",2019,41.8545994065282
"39","edm","electro house",2020,36.7659574468085
"40","edm","pop edm",2000,71
"41","edm","pop edm",2005,38
"42","edm","pop edm",2006,77
"43","edm","pop edm",2007,59.25
"44","edm","pop edm",2008,50.5
"45","edm","pop edm",2009,37.5
"46","edm","pop edm",2010,55.0666666666667
"47","edm","pop edm",2011,46.1904761904762
"48","edm","pop edm",2012,58.3809523809524
"49","edm","pop edm",2013,46
"50","edm","pop edm",2014,39.3768115942029
"51","edm","pop edm",2015,35.3311258278146
"52","edm","pop edm",2016,36.6401869158879
"53","edm","pop edm",2017,40.1962025316456
"54","edm","pop edm",2018,41.4437086092715
"55","edm","pop edm",2019,53.3835616438356
"56","edm","pop edm",2020,48.4615384615385
"57","edm","progressive electro house",1977,0
"58","edm","progressive electro house",1978,41
"59","edm","progressive electro house",1979,27.5
"60","edm","progressive electro house",1980,29
"61","edm","progressive electro house",1981,69
"62","edm","progressive electro house",1982,43.5
"63","edm","progressive electro house",1983,2
"64","edm","progressive electro house",1990,35
"65","edm","progressive electro house",1991,15
"66","edm","progressive electro house",1993,31
"67","edm","progressive electro house",1994,33
"68","edm","progressive electro house",1998,52
"69","edm","progressive electro house",2000,47
"70","edm","progressive electro house",2001,45
"71","edm","progressive electro house",2002,34
"72","edm","progressive electro house",2003,20.75
"73","edm","progressive electro house",2004,38
"74","edm","progressive electro house",2005,16.2
"75","edm","progressive electro house",2006,17.5
"76","edm","progressive electro house",2007,6.47826086956522
"77","edm","progressive electro house",2008,11.2105263157895
"78","edm","progressive electro house",2009,8.84375
"79","edm","progressive electro house",2010,10.9230769230769
"80","edm","progressive electro house",2011,21.0606060606061
"81","edm","progressive electro house",2012,24.6842105263158
"82","edm","progressive electro house",2013,15.6701030927835
"83","edm","progressive electro house",2014,17.9111969111969
"84","edm","progressive electro house",2015,22.3166666666667
"85","edm","progressive electro house",2016,22.9444444444444
"86","edm","progressive electro house",2017,26.2978723404255
"87","edm","progressive electro house",2018,35.1991869918699
"88","edm","progressive electro house",2019,40.6885644768856
"89","edm","progressive electro house",2020,31.1818181818182
"90","latin","latin hip hop",1965,26
"91","latin","latin hip hop",1976,72
"92","latin","latin hip hop",1979,63
"93","latin","latin hip hop",1981,42
"94","latin","latin hip hop",1982,61.6666666666667
"95","latin","latin hip hop",1983,26
"96","latin","latin hip hop",1985,31.6666666666667
"97","latin","latin hip hop",1986,34.4
"98","latin","latin hip hop",1987,31
"99","latin","latin hip hop",1988,32.6923076923077
"100","latin","latin hip hop",1989,42
"101","latin","latin hip hop",1990,32
"102","latin","latin hip hop",1991,30.2222222222222
